name,dataset,ClaSS,FLOSS,Window,ADWIN,DDM,HDDM,ChangeFinder,NEWMA
UTSA,Cane,362.2527235095912,452.9008554228517,3353.871083224992,11504.901432726489,20946.104965874318,19526.821954876217,2283.1343072996165,13572.590483936563
UTSA,DutchFactory,476.21428936391334,710.0843980006435,3431.4339876858485,11233.779555829098,20323.37385172125,21601.696377937224,2465.2692774152524,13617.146942708823
UTSA,EEGRat,133.70253058779642,174.88953539720472,3780.3610244778383,11492.271447451587,20485.506504148314,19009.5998479232,2100.0903038830666,12669.453946534908
UTSA,EEGRat2,144.05942163023406,170.77100547406457,4550.1080650665435,10634.338278300633,18807.598269700957,18561.4849187935,2117.47766061068,12869.184737146903
UTSA,Fetal2013,804.7814750034876,325.7060810230067,3313.452617627568,11804.672026862185,23337.525444385374,21956.039130540852,2499.9895833767355,14276.536512242134
UTSA,GrandMalSeizures,737.0320624142039,378.3718759994564,2551.6045123752538,12284.887828416799,20884.22579256271,28829.730659742854,2572.052925793929,13643.530204223636
UTSA,GrandMalSeizures2,595.4545013518012,668.2483093631624,2804.871491558232,11532.254498828313,24770.293691683084,22486.36765308102,2442.907886942045,13267.122765075412
UTSA,GreatBarbet1,311.37911798883533,394.8418532364431,3443.6523229999343,11337.594982511157,22325.6697700931,18863.380960025686,2243.3403815587876,13412.476456823244
UTSA,GreatBarbet2,305.31256861412777,403.5883295994257,3344.0294843791135,11684.566428003181,16187.360082658863,21135.9445968431,2170.1889911391645,13593.637020968912
UTSA,InsectEPG1,781.8658268388637,341.7977585015181,3751.133547944389,11755.63545844281,23804.25651078129,21881.99860993126,2693.04000988446,14025.376187961987
UTSA,InsectEPG2,543.8630646229611,758.4979298869117,3686.1348843037954,11868.510057556514,31128.610557768912,21108.06247361756,2466.6055009668125,13744.4340607993
UTSA,InsectEPG3,429.1619235722749,587.9137166711034,3616.70472274169,14576.913467144164,22659.15784704016,23222.10428552474,2363.797201663875,13484.985650172393
UTSA,InsectEPG4,704.0617407417974,348.810847079276,3867.628230571788,11448.592499758986,20842.885819904997,22380.44758539458,2667.8404546884126,14123.882227888002
UTSA,NogunGun,462.8074099334029,604.8912375568392,2963.049175459227,10730.480786000811,20870.081411126183,22742.814896959615,2369.277375214207,13805.16080777861
UTSA,PigInternalBleedingDatasetAirwayPressure,648.7106156230385,314.3614890484713,2494.2071692839218,12721.109241983992,22476.24480237777,22426.0851331516,2516.8089827203657,14037.933265204716
UTSA,PigInternalBleedingDatasetArtPressureFluidFilled,633.4241327275904,397.5492296736926,3536.7648274607714,12625.215015683496,21953.901645113045,23218.63321289562,2527.472527472527,14061.00332438067
UTSA,PigInternalBleedingDatasetCVP,640.546284634761,391.34426873926935,3110.0836251698056,12452.594810379238,24230.115705154138,23547.636272135373,2525.8352817336204,14142.8166619439
UTSA,Powerdemand,495.77506965181516,639.8542045301213,3490.5806123283564,10049.449255644802,20255.23387649633,21102.076694868694,2407.388256382775,13799.91736576428
UTSA,PulsusParadoxusECG1,701.8574125051676,362.22161487868544,3880.8608285785162,11139.580127919837,22004.395604395602,20730.004732607664,2574.2705180570656,14038.70037258123
UTSA,PulsusParadoxusECG2,780.3182198358749,331.55065642147827,3872.7460003801784,10778.240515751202,21326.760391942058,18694.650135507134,2544.4675511768946,13992.173774157485
UTSA,PulsusParadoxusSP02,749.8508515371486,327.7532413357053,3924.357400754365,10451.251155715947,25369.222749913122,20327.16514879053,2556.403264188906,13957.286131933437
UTSA,RoboticDogActivityX,591.0013654602776,475.5121894230272,3374.315451596017,11160.914388166739,23598.38700685708,20890.29265163105,2522.791340780458,13920.831369281874
UTSA,RoboticDogActivityY,637.6184934088753,401.79118120429655,3600.772136456502,11146.330181310803,21792.115758105883,20283.71534629555,2536.015596694329,14060.915647898375
UTSA,RoboticDogActivityZ,620.455865846161,618.4545719816465,3485.2810245458836,10167.392248749871,19464.892412231024,19904.09843481407,2484.1746781300035,13912.42759213822
UTSA,SimpleSynthetic,495.4989546278772,673.6657402113868,3149.0453681364306,12004.501125281316,22976.853713169832,19515.110124637184,2363.9914552389846,13870.397337216562
UTSA,SuddenCardiacDeath1,660.3965681391678,452.4433069684564,3373.9804252902322,11422.914366218632,19930.575163181576,22069.77727916429,2462.71045913132,13957.221117275554
UTSA,SuddenCardiacDeath2,609.6523290080411,546.8312856208115,3362.9717225667428,11881.94293182313,22797.38611754872,21889.64888280893,2512.062126492721,14196.654600515772
UTSA,SuddenCardiacDeath3,608.4481049688325,539.0543797663034,3314.3418955903594,11835.072286542667,20163.309195382983,21548.102129493298,2670.984398299615,18946.354709355557
UTSA,TiltABP,1052.3219747453252,217.52997970989114,2515.875172337449,15301.223715366634,22860.277980980245,24716.226820813532,2638.8096329745654,15665.510029842795
UTSA,TiltECG,829.3053282452688,217.05783744842438,2658.863787737586,12909.430661834234,21060.834219643435,24794.208072994144,2635.3238813050125,18651.061944839475
UTSA,WalkJogRun1,599.9875215074017,757.4965726707414,3413.869848985499,13724.252446103386,20501.834730735325,28807.212604775752,2463.0092993931753,13914.241193166012
UTSA,WalkJogRun2,583.1639897256781,784.4616817019862,3434.043765945246,11363.223196836792,24274.271844660194,23725.476241311408,2454.2933568921935,13724.817478179724
TSSB,Adiac,3467.1263235656247,1382.099456190981,3869.9392573454647,13855.54024798268,18212.3916699004,16580.310880829013,2093.8359729347903,12504.440497335703
TSSB,ArrowHead,3185.413934599602,135.20756515954224,3907.831231511756,11209.527353926309,18100.961538461535,17507.556382236686,2101.5615188177667,10652.896654169912
TSSB,Beef,590.6649798503648,1177.0009015326054,4635.108481262327,11442.947573445867,15928.603705377313,16529.89449003517,2066.2670906666276,12774.053270520024
TSSB,BeetleFly,923.4909400488438,232.14585288663395,3670.8298082851784,11159.060197898956,19516.657772356484,16995.28646351988,2096.6077541727414,13168.724279835393
TSSB,BirdChicken,940.056697169548,1967.5961508900298,3855.3055630854496,11384.86169171929,19389.53268196622,17316.017316017314,2129.5533760907724,13091.281002301206
TSSB,Car,3432.298195782225,197.2897514222101,3888.3995182195695,13744.678147042003,23146.067415730337,18820.151396502217,2124.733548786358,12811.704081028254
TSSB,CBF,3562.1521335807047,816.944796657334,3982.9066921130157,10994.044892349975,17256.87578644616,12822.225190329904,2535.791642453379,12230.857434068037
TSSB,ChlorineConcentration,1560.8711746050797,4137.386037581743,3918.5842663893873,13951.533577751945,20070.495008747548,19719.912030132204,2388.460926114166,13715.561650579322
TSSB,CinCECGTorso,1880.9114641409437,3624.936162897117,3751.5568254366967,10878.108735565904,20038.01324873522,21370.65521969832,2350.6228215998926,14311.380831653123
TSSB,Coffee,3141.4928373963307,785.3978825673086,3797.8048687858427,10642.826734780756,16846.361185983824,15491.86676994578,2032.602951339485,9144.111192392102
TSSB,Computers,1375.803469226028,1284.9359816339818,3647.788953522305,11269.834909440611,20495.1631414986,19874.21828074762,2471.951589300075,13961.97378872121
TSSB,CricketX,3366.981368353425,2269.7909325816304,3753.9761552096747,11551.10579796772,19661.70672771207,18701.989959474984,2135.0789606336184,13091.155425716588
TSSB,CricketY,3495.0882299436053,2281.820408708626,3724.615906557457,11414.779056813959,19573.384272524672,18490.22556390977,2102.268452979353,13048.092024279473
TSSB,CricketZ,1047.1950819988053,2059.175723401998,3735.3753935411146,11504.91192411924,23210.31949427644,17175.54839117517,2132.335052072297,13140.839620816409
TSSB,DiatomSizeReduction,3234.764335034524,118.23022249775747,3986.18861177051,10991.159469568174,18275.6183745583,17923.482118103686,1765.1636155137815,12130.593864339997
TSSB,DistalPhalanxOutlineAgeGroup,577.9365643894079,130.4475536978689,4187.040669926507,11372.673771274056,17571.884984025557,17628.20512820513,2098.035475872592,12383.096640110845
TSSB,DistalPhalanxTW,857.2539299111845,235.40811829531674,3028.240099532853,11181.900923156936,18189.509306260574,18743.189248092986,2102.723760778497,12932.330827067672
TSSB,ECG200,3196.3348693498124,1876.8181675998626,4695.754255527293,11123.470522803114,19504.266558309628,18269.011189769353,2102.2388844118987,12632.908727234448
TSSB,ECGFiveDays,349.6550398168559,69.9849559193222,4258.33151818776,10446.166176863477,16054.19831656744,13164.983164983163,2082.3347712627146,11001.688238604393
TSSB,FaceAll,2876.0957862217133,4503.177269021872,3966.3487532169815,11326.161332954556,22065.016001347478,20080.145400398535,2446.305331985242,13914.811611356432
TSSB,FaceFour,2377.946247091262,4282.436910527657,3593.0909993070463,11061.364234922305,22826.08695652174,21190.181882394485,2431.4068293586583,13726.163047208198
TSSB,FacesUCR,1692.6318427834042,3573.022932821878,3627.725830549448,11331.142727304505,20359.26263228967,20371.41779788838,2658.939623245112,13743.905024379905
TSSB,FiftyWords,2624.600324286645,3396.877696712953,3660.3922452660063,11585.542598497177,22517.876489707476,20485.727803185615,2316.530019928578,10477.918935269212
TSSB,Fish,1829.4412831387463,3658.0959401060863,4026.7762323152374,10656.617755415673,20023.734177215185,19219.013990925825,2440.5825191227977,13794.60696815686
